,label,message,label_num,Length
1525,ham,pls pls find out from aunt nike,0,32
2234,ham,whats your room number again wanna make sure im knocking on the right door,0,77
568,ham,love it daddy will make you scream with pleasure i am going to slap your ass with my dick,0,92
3901,ham,right on brah see you later,0,28
4751,ham,well boy am i glad g wasted all night at applebees for nothing,0,62
2013,spam,great news call freefone 08006344447 to claim your guaranteed å£1000 cash or å£2000 gift speak to a live operator now,1,120
2673,ham,good afternoon my boytoy  how are you feeling today  better i hope are you being my good boy are you my obedient slave do you please your queen,0,153
2088,spam,well done england get the official poly ringtone or colour flag on yer mobile text tone or flag to 84199 now optout txt eng stop box39822 w111wx å£150,1,156
1226,spam,reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations wwwphb1com ph08700435505150p,1,159
804,ham,k ill be there before 4,0,25
1198,ham,al he does is moan at me if n e thin goes wrong its my faultal de arguments r my faultfed up of him of himso y bother hav 2go thanxxx,0,138
608,ham,neva mind its ok,0,19
5178,spam,sms auction  a brand new nokia 7250 is up 4 auction today auction is free 2 join  take part txt nokia to 86021 now,1,119
2425,ham,hey i almost forgot  happy bday babe  i love ya,0,57
2057,ham,nothing i got msg frm tht unknown no,0,39
5206,ham,i will reach ur home in  ltgt  minutes,0,43
1508,ham,sounds like something that someone testing me would sayy,0,56
2140,ham,after the drug she will be able to eat,0,39
5498,ham,why did i wake up on my own gt,0,34
726,ham,of cos can lar im not so ba dao ok 1 pm lor y u never ask where we go ah i said u would ask on fri but he said u will ask today,0,140
510,ham,8 at the latest gs still there if you can scrounge up some ammo and want to give the new ak a try,0,99
4060,ham,aight ive been set free think you could text me blakes address it occurs to me im not quite as sure what im doing as i thought i was,0,138
5484,ham,   and  picking them up from various points  going 2 yeovil  and they will do the motor project 4 3 hours  and then u take them home  12 2 530 max  very easy,0,169
3773,ham,ok but bag again,0,21
3307,ham,but im surprised she still can guess right lor,0,50
1452,ham,thats good because i need drugs,0,33
2880,ham,printer is cool i mean groovy wine is groovying,0,49
3722,ham,we left already we at orchard now,0,34
2152,ham,hi kindly give us back our documents which we submitted for loan from stapati,0,77
1021,spam,guess what somebody you know secretly fancies you wanna find out who it is give us a call on 09065394514 from landline datebox1282essexcm61xn 150pmin 18,1,156
88,ham,im really not up to it still tonight babe,0,42
3858,spam,win the newest åòharry potter and the order of the phoenix book 5 reply harry answer 5 questions  chance to be the first among readers,1,139
5559,ham,if you arent here in the next  ltgt  hours imma flip my shit,0,66
186,ham,haha awesome be there in a minute,0,34
1602,ham,ok pa nothing problem,0,25
3372,ham,looks like you found something to do other than smoke great job,0,65
3560,spam,text banneduk to 89555 to see cost 150p textoperator g696ga 18 xxx,1,68
4600,spam,freemsg txt call to no 86888  claim your reward of 3 hours talk time to use from your phone now subscribe6gbpmnth inc 3hrs 16 stoptxtstop,1,144
3227,spam,six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,1,136
1606,ham,ok no prob ill come after lunch then,0,43
1116,ham,hey what time is your driving on fri we go for evaluation on fri,0,69
5488,ham,k i will sent it again,0,23
2595,spam,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 å£150 sptyrone,1,137
4456,ham,aight should i just plan to come up later tonight,0,50
4053,ham,dont make ne plans for nxt wknd coz she wants us to come down then ok,0,69
2386,ham,no messageno responcewhat happend,0,38
3903,spam,your 2004 account for 07xxxxxxxxx shows 786 unredeemed points to claim call 08719181259 identifier code xxxxx expires 260305,1,128
1161,ham,k i will sent it again,0,23
5027,ham,go chase after her and run her over while shes crossing the street,0,67
3468,ham,all day working dayexcept saturday and sunday,0,49
3606,ham,i have no idea where you are,0,28
1758,ham,sorry im not free,0,21
5440,ham,thank you do you generally date the brothas,0,45
4718,ham,aiyo her lesson so early im still sleepin haha okie u go home liao den confirm w me lor,0,102
2296,spam,forwarded from 21870000hi  this is your mailbox messaging sms alert you have 4 messages you have 21 matches please call back on 09056242159 to retrieve your messages and matches,1,183
2645,ham,sorry ill call later,0,22
3222,ham,well that must be a pain to catch,0,33
1968,ham,2 laptop i noe infra but too slow lar i wan fast one,0,58
763,ham,nothing but we jus tot u would ask cos u ba gua but we went mt faber yest yest jus went out already mah so today not going out jus call lor,0,151
2433,ham,indians r poor but india is not a poor country says one of the swiss bank directors he says that  ltgt  lac crore of indian money is deposited in swiss banks which can be used for taxless budget for  ltgt  yrs can give  ltgt  crore jobs to all indians from any village to delhi 4 lane roads forever free power suply to more than  ltgt  social projects every citizen can get monthly  ltgt  for  ltgt  yrs no need of world bank amp imf loan think how our money is blocked by rich politicians we have full rights against corrupt politicians itna forward karo ki pura india padhegm,0,632
1338,ham,aight sorry i take ten years to shower whats the plan,0,56
286,ham,ok,0,4
59,ham,yesgauti and sehwag out of odi series,0,40
4259,ham,are you plans with your family set in stone ,0,45
2351,spam,download as many ringtones as u like no restrictions 1000s 2 choose u can even send 2 yr buddys txt sir to 80082 å£3 ,1,120
599,ham,im going out to buy mums present ar,0,38
1941,spam,well done your 4 costa del sol holiday or å£5000 await collection call 09050090044 now toclaim sae tcs pobox334 stockport sk38xh costå£150pm max10mins,1,162
4981,ham,slept i thinkthis time  ltgt  pm is not dangerous,0,57
5025,spam,ur cashbalance is currently 500 pounds  to maximize ur cashin now send go to 86688 only 150pmeg cc 08718720201 hgsuite3422lands roww1j6hl,1,146
5153,ham,havent left yet so probably gonna be here til dinner,0,53
4927,ham,just hopeing that wasnû÷t too pissed up to remember and has gone off to his sisters or something,0,98
3637,spam,customer service announcement we recently tried to make a delivery to you but were unable to do so please call 07090298926 to reschedule ref9307622,1,152
3873,ham,no did you multimedia message them or email,0,46
2538,ham,the monthly amount is not that terrible and you will not pay anything till 6months after finishing school,0,106
2284,ham,velly good yes please,0,23
2072,ham,that is wondarfull song,0,23
2482,ham,pansy youve been living in a jungle for two years its my driving you should be more worried about,0,101
2189,ham,yup i shd haf ard 10 pages if i add figures ìï all got how many pages,0,73
3908,ham,serious what like proper tongued her,0,37
883,ham,dude we should go sup again,0,27
3790,spam,twinks bears scallies skins and jocks are calling now dont miss the weekends fun call 08712466669 at 10pmin 2 stop texts call 08712460324nat rate,1,156
2486,ham,i dont thnk its a wrong calling between us,0,42
5071,spam,win a å£200 shopping spree every week starting now 2 play text store to 88039 skilgme tscs08714740323 1winawk age16 å£150perweeksub,1,137
2087,ham,alright babe,0,13
2485,ham,lol thats different i dont go trying to find every real life photo you ever took,0,84
3699,ham,ohi asked for fun hahatake care ì,0,42
2650,ham,do you like shaking your booty on the dance floor,0,50
647,spam,private your 2003 account statement for shows 800 unredeemed s i m points call 08715203694 identifier code 40533 expires 311004,1,136
3763,ham,would me smoking you out help us work through this difficult time,0,65
1400,ham,no i decided that only people who care about stuff vote and caring about stuff is for losers,0,93
5241,ham,its a part of checking iq,0,25
3725,ham,no chikku nt yet ya im free,0,30
5355,ham,living is very simple loving is also simple laughing is too simple winning is tooo simple but being simple is very difficult ,0,145
1138,ham,what  u wearing,0,17
4657,ham,this message is from a great doctor in india 1 do not drink appy fizz it contains cancer causing age,0,106
5497,spam,sms services for your inclusive text credits pls goto wwwcomuknet login 3qxj9 unsubscribe with stop no extra charge help 08702840625comuk 220cm2 9ae,1,158
5143,ham,hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love kate,0,88
871,ham,its going goodno problembut still need little experience to understand american customer voice,0,102
2802,spam,freemsgfav xmas tonesreply real,1,33
5264,ham,storming msg wen u lift d phne u say hello do u knw wt is d real meaning of hello    its d name of a girl    yes and u knw who is dat girl margaret hello she is d girlfrnd f grahmbell who invnted telphone     moralone can 4get d name of a person,0,278
917,ham,when people see my msgs they think iam addicted to msging they are wrong bcoz they dont know that iam addicted to my sweet friends bslvyl,0,148
3729,ham,i guess you could be as good an excuse as any lol,0,51
1644,ham,india have to take lead,0,25
3807,ham,mm you ask him to come its enough ,0,37
2003,ham,ssindia going to draw the series after many years in south african soil,0,80
1367,ham,i dont know same thing thats wrong everyso often he panicks starts goin on bout not bein good enough û,0,108
3214,ham,i want snow its just freezing and windy,0,42
3206,ham,this phone has the weirdest auto correct,0,41
5247,ham,gud ni8 dearslp welltake careswt dreamsmuah,0,53
1135,ham,k do i need a login or anything,0,31
4661,ham,ladies first and genus second k ,0,33
4420,ham,still at west coast haiz ìïll take forever to come back,0,65
1866,ham,or ì go buy wif him then i meet ì later can,0,46
4721,ham,im home my love  if your still awake  loving kiss,0,59
3794,ham,also remember the beads dont come off ever,0,45
4684,ham,alright well bring it to you see you in like  ltgt  mins,0,63
4210,ham,oi when you gonna ring,0,22
1493,ham,how are you with moneyas in to youmoney aint a thinghow are you sha,0,78
1550,ham,he says hi and to get your ass back to south tampa preferably at a kegger,0,75
915,ham,i could ask carlos if we could get more if anybody else can chip in,0,67
1269,ham,tee hee off to lecture cheery bye bye,0,40
4490,ham,my friend shes studying at warwick weve planned to go shopping and to concert tmw but it may be canceled havnt seen  for ages yeah we should get together sometime,0,171
284,ham,yeah i think my usual guys still passed out from last night if you get ahold of anybody let me know and ill throw down,0,121
197,ham,is your hamster dead hey so tmr i meet you at 1pm orchard mrt ,0,64
5325,ham,gal n boy walking in d park galcan i hold ur hand boyy do u think i would run away galno jst wana c how it feels walking in heaven with an princegn,0,160
2236,ham,pls tell nelson that the bbs are no longer comin the money i was expecting aint coming,0,88
4634,ham,how come i din c ì yup i cut my hair,0,43
4869,ham,dips cell dead so i m coming with him u better respond else we shall come back,0,82
5516,ham,ya im referin to meis ex wat no ah waitin 4 u to treat somebody shld b rich liaoso gd den u dun have to work frm tmr onwards,0,139
885,ham,gibbs unsoldmike hussey,0,24
2775,ham,we confirm eating at esplanade,0,31
2909,ham,how do you guys go to see movies on your side,0,46
357,spam,ur cashbalance is currently 500 pounds  to maximize ur cashin now send cash to 86688 only 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl,1,148
4105,ham,k then 2marrow are you coming to class,0,39
3754,ham,im on gloucesterroad what are uup to later,0,47
3829,ham,i agree so i can stop thinkin about ipad can you please ask macho the same question,0,86
1369,ham,did you try making another butt,0,32
974,ham,eh u send wrongly lar,0,24
31,ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you ,0,189
4327,spam,congrats 2 mobile 3g videophones r yours call 09061744553 now videochat wid ur mates play java games dload polyh music noline rentl bx420 ip4 5we 150pm,1,161
2576,ham,in sch but neva mind u eat 1st lor,0,36
2211,ham,just gettin a bit arty with my collages at the mo well tryin 2 ne way got a roast in a min lovely i shall enjoy that,0,119
858,ham,spoons it is then okay,0,23
4272,ham,kind of just missed train cos of asthma attack nxt one in half hr so driving in not sure where to park,0,106
1092,ham,where r we meeting,0,19
3225,ham,rose for redred for bloodblood for heartheart for u but u for me send tis to all ur friends including me if u like me if u get back 1u r poor in relation 2u need some 1 to support 3u r frnd 2 many 4some1 luvs u 5 some1 is praying god to marry u try it,0,281
985,ham,carlos says hell be at mu in  ltgt  minutes,0,49
5050,ham,with my sis lor we juz watched italian job,0,46
2153,ham,i dont have i shall buy one dear,0,32
537,ham,or maybe my fat fingers just press all these buttons and it doesnt know what to do,0,84
679,ham,missed your call cause i was yelling at scrappy miss u cant wait for u to come home im so lonely today,0,108
2208,spam,urgent your 4 costa del sol holiday or å£5000 await collection call 09050090044 now toclaim sae tc s pobox334 stockport sk38xh costå£150pm max10mins,1,161
4333,ham,boo what time u get out u were supposed to take me shopping today ,0,70
3726,ham,aldrine rakhesh ex rtm herepls callurgent,0,45
717,ham,book which lesson then you msg me i will call up after work or sth im going to get specs my membership is px3748,0,121
2073,spam,freemsg claim ur 250 sms messagestext ok to 84025 nowuse web2mobile 2 ur mates etc join txt250com for 150pwk tc box139 la32wu 16  remove txtx or stop,1,161
2356,ham,nohe joined today itself,0,27
2893,ham,kkyesterday i was in cbe ,0,32
4214,ham,no dear i was sleeping p,0,26
4523,ham,ive sent ì my part,0,22
5541,ham,yeah its jus rite,0,21
824,ham,have a good evening ttyl,0,25
417,spam,free entry into our å£250 weekly competition just text the word win to 80086 now 18 tc wwwtxttowincouk,1,107
4070,ham,ive reached home n i bathe liao u can call me now,0,56
4907,ham,im in solihull  do you want anything,0,40
293,ham,are you this much buzy,0,22
649,spam,you have won 1000 cash or a 2000 prize to claim call09050000327 tc rstm sw7 3ss 150ppm,1,97
2579,ham,i dunno until when lets go learn pilates,0,46
66,ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,0,124
4922,ham,oh yah we never cancel leh haha ,0,38
606,spam,xclusiveclubsaisai 2morow 285 soiree speciale zouk with nichols from parisfree roses 2 all ladies  info 0794674629107880867867 ,1,135
3955,ham,haha dont be angry with yourself take it as a practice for the real thing  ,0,84
4928,spam,got what it takes 2 take part in the wrc rally in oz u can with lucozade energy text rally le to 61200 25p see packs or lucozadecoukwrc  itcould be u,1,159
728,ham,exactly anyways how far is jide her to study or just visiting,0,63
1028,ham,lol you forgot it eh  yes ill bring it in babe,0,49
1939,spam,more people are dogging in your area now call 09090204448 and join like minded guys why not arrange 1 yourself theres 1 this evening aå£150 minapn ls278bb,1,160
2091,ham,then get some cash together and ill text jason,0,47
3291,ham,dear good morning how you feeling dear,0,38
3548,ham,i got like  ltgt  i can get some more later though get whatever you feel like,0,85
4054,ham,when is school starting where will you stay whats the weather like and the food do you have a social support system like friends in the school all these things are important,0,180
378,ham,keep my payasam there if rinu brings,0,36
4388,ham,k im ready  ltgt ,0,25
5197,ham,i like cheap but iû÷m happy to splash out on the wine if it makes you feel better,0,85
879,spam,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09065171142stopsms08,1,143
4569,spam,wanna have a laugh try chitchat on your mobile now logon by txting the word chat and send it to no 8883 cm po box 4217 london w1a 6zf 16 118pmsg rcvd,1,156
550,ham,imagine you finally get to sink into that bath after i have put you through your paces maybe even having you eat me for a while before i left  but also imagine the feel of that cage on your cock surrounded by the bath water reminding you always who owns you  enjoy my cuck,0,281
4313,ham,is ur changes 2 da report big cos ive already made changes 2 da previous report,0,82
970,ham,yar lor he wan 2 go c horse racing today mah so eat earlier lor i ate chicken rice u,0,88
2793,ham,the affidavit says  ltgt  e twiggs st division g courtroom  ltgt  lttimegt  am ill double check and text you again tomorrow,0,142
1834,ham,i have a rather prominent bite mark on my right cheek,0,53
4138,ham,ever green quote ever told by jerry in cartoon a person who irritates u always is the one who loves u vry much but fails to express it   gud nyt,0,160
4992,ham,hey kate,0,9
4345,ham,you still around i could use a half8th,0,40
2174,ham,see i thought it all through,0,29
142,ham,a swt thought nver get tired of doing little things 4 lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni8,0,158
2305,ham,still in the area of the restaurant ill try to come back soon,0,62
5567,spam,this is the 2nd time we have tried 2 contact u u have won the å£750 pound prize 2 claim is easy call 087187272008 now1 only 10p per minute btnationalrate,1,161
1757,ham,miss ya need ya want ya love ya,0,35
905,ham,hey whats up charles sorry about the late reply,0,49
1105,ham,on hen night going with a swing,0,32
2112,spam,you are a winner you have been specially selected to receive å£1000 cash or a å£2000 award speak to a live operator to claim call 087123002209am7pm cost 10p,1,159
2924,ham,are you coming to day for class,0,32
5224,ham,oh fuck juswoke up in a bed on a boatin the docks slept wid 25 year old spinout giv u da gossip l8r xxx,0,112
4115,ham,what you doinghow are you,0,27
2614,ham,sir hope your day is going smoothly i really hoped i wont have to bother you about this i have some bills that i cant settle this month i am out of all extra cash i know this is a challenging time for you also but i have to let you know,0,243
5478,ham,no probably  ltgt ,0,25
4365,ham,mm yes dear look how i am hugging you both p,0,47
1485,ham,i should add that i dont really care and if you cant i can at least get this dude to fuck off but hey your money if you want it,0,132
7,ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,0,160
1947,ham,the battery is for mr adewale my uncle aka egbon,0,49
1675,ham,painful words i thought being happy was the most toughest thing on earth but,0,81
4183,ham,i just really need shit before tomorrow and i know you wont be awake before like 6,0,83
953,ham,also remember to get dobbys bowl from your car,0,47
2544,ham,she is our sister she belongs 2 our family she is d hope of tomorrow pray 4 herwho was fated 4 d shoranur train incident lets hold our hands together amp fuelled by love amp concern prior 2 her grief amp pain pls join in dis chain amp pass it stop violence against women,0,289
4859,ham,response is one of d powerful weapon 2 occupy a place in others heart so,0,80
1014,ham,ya toldshe was asking wats matter,0,37
810,ham,ssnervous  ltgt ,0,26
2014,ham,ambrithmaduraimet u in arun dha marrgeremembr,0,52
1564,ham,tmrw im finishing 9 doors,0,26
2710,spam,hope you enjoyed your new content text stop to 61610 to unsubscribe help08712400602450p provided by tones2youcouk,1,118
2295,ham,hi darlin im missin u hope you are having a good time when are u back and what time if u can give me a call at home jess xx,0,125
4093,ham,how are you i miss you,0,24
538,ham,ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear,0,84
5297,ham,my darling sister how are you doing whens school resuming is there a minimum wait period before you reapply do take care,0,125
2902,ham,tell me pa how is pain de,0,27
281,ham,wen u miss someone,0,19
1610,ham,ill probably be around mu a lot,0,32
3016,ham,one of the joys in lifeis waking up each daywith thoughts that somewheresomeone cares enough tosend a warm morning greeting ,0,127
1101,ham,yeah go on then bored and depressed sittin waitin for phone to ring hope the wind drops though scary,0,105
1998,ham,well i have to leave for my class babe  you never came back to me    hope you have a nice sleep my love,0,117
4134,ham,no need to say anything to me i know i am an outsider,0,54
4870,ham,well you know what i mean texting,0,35
4461,ham,sorry i flaked last night shits seriously goin down with my roommate what you up to tonight,0,95
1770,ham,dont show yourself how far put new pictures up on facebook,0,61
5122,ham,not enufcredeit tocallshall ileave uni at 6 get a bus to yor house,0,73
4734,ham,oh kafter that placement there ah,0,36
1343,ham,crazy ar hes married ìï like gd looking guys not me my frens like say hes korean leonas fave but i dun thk he is aft some thinking mayb most prob ill go,0,160
2841,ham,aathiwhere are you dear,0,27
857,ham,hai ana tomarrow am coming on morning  ltdecimalgt  ill be there in sathy then we ll go to rto office reply me after came to home,0,136
1018,ham,nope watching tv at home not going out v bored,0,53
5439,ham,hey ive booked the 2 lessons on sun liao,0,44
2590,ham,lol i have to take it member how i said my aunt flow didnt visit for 6 months its cause i developed ovarian cysts bc is the only way to shrink them,0,153
3215,spam,urgent we are trying to contact u todays draw shows that you have won a å£2000 prize guaranteed call 09066358361 from land line claim y87 valid 12hrs only,1,159
40,ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,0,82
4479,ham,y cant u try new invention to flyim not joking,0,51
1222,ham,teach me apps da when you come to college,0,43
388,spam,4mths half price orange line rental  latest camera phones 4 free had your phone 11mths  call mobilesdirect free on 08000938767 to update now or2stoptxt,1,155
2700,ham,feb  ltgt  is i love u day send dis to all ur valued frnds evn me if 3 comes back ull gt married d person u luv if u ignore dis u will lose ur luv 4 evr,0,169
1080,ham,you tell what happen dont behave like this to me ok no need to say,0,67
1084,ham,for me the love should start with attractioni should feel that i need her every time around meshe should be the first thing which comes in my thoughtsi would start the day and end it with hershe should be there every time i dreamlove will be then when my every breath has her namemy life should happen around hermy life will be named to heri would cry for herwill give all my happiness and take all her sorrowsi will be ready to fight with anyone for heri will be in love when i will be doing the craziest things for herlove will be when i dont have to proove anyone that my girl is the most beautiful lady on the whole planeti will always be singing praises for herlove will be when i start up making chicken curry and end up makiing sambarlife will be the most beautiful thenwill get every morning and thank god for the day because she is with mei would like to say a lotwill tell later,0,910
4621,ham,they finally came to fix the ceiling,0,37
4675,ham,ìï ready then call me,0,24
5150,ham,happy new year to u and ur familymay this new year bring happiness  stability and tranquility to ur vibrant colourful life,0,130
1439,ham,in fact when do you leave i think addie goes back to school tues or wed,0,72
3048,ham,lol they dont know about my awesome phone i could click delete right now if i want,0,85
